timestamp,open,high,low,close,volume
1776935700,77597.77,77724.23,77531.54,77638.07,84.44733341
1776936600,77638.08,77787.2,77638.08,77748.88,20.31727244
1776937500,77748.88,77774.93,77557.21,77670.55,33.65041686
1776938400,77672.01,77737.92,77200.0,77242.36,154.72554966
1776939300,77242.36,77420.54,77229.37,77415.99,42.82574172
1776940200,77415.99,77474.42,77366.64,77399.62,23.66526523
1776941100,77399.96,77495.94,77322.97,77425.92,29.99272108
1776942000,77425.92,77529.9,77372.12,77419.69,25.85707057
1776942900,77419.69,77528.85,77407.63,77496.01,26.48657044
1776943800,77496.02,77618.74,77402.22,77610.33,30.19190228
1776944700,77610.33,77776.48,77606.89,77722.29,65.49293934
1776945600,77722.29,77895.01,77716.08,77736.57,113.03671217
1776946500,77730.18,77796.4,77644.47,77796.4,48.65813795
1776947400,77796.73,77901.89,77735.93,77791.78,65.48258743
1776948300,77791.79,77907.56,77562.25,77894.01,120.34028552
1776949200,77897.23,77946.39,77668.78,77690.0,90.00388775
1776950100,77695.29,77757.28,77602.3,77627.54,77.78792183
1776951000,77627.54,77736.76,77552.7,77566.46,144.92434155
1776951900,77564.28,77720.98,77404.02,77549.31,166.48882298
1776952800,77549.32,77696.26,77431.4,77546.49,270.24753936
1776953700,77546.5,77988.43,77498.54,77766.16,392.4598182
1776954600,77766.15,78022.09,77766.15,77929.36,107.49252552
1776955500,77929.36,78250.0,77880.0,78210.59,281.31631535
1776956400,78210.59,78227.81,78007.2,78146.01,151.48924863
1776957300,78146.0,78722.96,78100.0,78425.07,300.17280694
1776958200,78424.17,78648.11,78340.1,78511.09,253.09947033
1776959100,78511.09,78512.27,78296.69,78410.43,198.39835826
1776960000,78410.44,78550.0,78331.49,78341.46,93.01311562
1776960900,78341.46,78484.47,78271.91,78327.7,143.39509059
1776961800,78327.7,78499.99,78299.9,78362.61,88.82336907
1776962700,78362.6,78405.99,78063.58,78133.06,158.0384021
1776963600,78133.06,78222.46,77697.46,77873.38,170.86540346
1776964500,77873.38,77885.48,77589.12,77625.79,126.80002464
1776965400,77625.79,77769.7,77008.14,77216.73,313.10073589
1776966300,77219.96,77855.37,76979.99,77796.41,387.87697837
1776967200,77796.41,78181.43,77765.0,78000.02,272.37060171
1776968100,78000.03,78098.29,77866.9,77939.06,169.20273199
1776969000,77939.06,78154.1,77939.06,78053.11,86.29369925
1776969900,78053.12,78086.96,77695.47,77698.4,107.61991848
1776970800,77698.4,77806.76,77609.0,77733.05,170.91635837
1776971700,77733.06,77925.25,77733.05,77885.11,178.68427949
1776972600,77885.1,77927.45,77663.64,77670.49,168.85588626
1776973500,77670.49,77839.14,77600.0,77743.16,172.58856957
1776974400,77742.5,77929.99,77656.44,77819.39,71.25838515
1776975300,77819.39,77853.4,77704.6,77759.5,58.97192687
1776976200,77759.49,78073.5,77736.01,78014.6,110.83408306
1776977100,78014.59,78048.97,77868.11,77903.01,42.86957948
1776978000,77903.01,77939.32,77846.49,77903.01,40.83399294
1776978900,77903.0,77950.11,77811.0,77945.08,21.28897929
1776979800,77945.08,78092.46,77945.08,78087.09,32.76519941
1776980700,78080.86,78080.88,77885.0,77890.0,24.09672529
1776981600,77887.5,78207.64,77884.4,78089.99,70.26056946
1776982500,78089.99,78288.93,78064.2,78192.0,74.05080663
1776983400,78192.01,78340.8,78192.01,78336.99,37.03976904
1776984300,78336.99,78369.99,78229.95,78257.14,58.10616599
1776985200,78257.15,78268.29,78107.61,78116.99,56.26013143
1776986100,78116.99,78179.88,78051.8,78158.03,51.95633442
1776987000,78158.02,78306.19,78148.9,78277.17,30.86221072
1776987900,78279.88,78327.6,78236.9,78281.32,27.55501746
1776988800,78281.32,78378.76,78191.31,78321.46,33.61156427
1776989700,78323.47,78500.0,78271.9,78433.09,60.17592441
1776990600,78433.1,78516.33,78384.24,78408.0,70.35863414
1776991500,78408.0,78494.86,78349.4,78446.01,46.60002575
1776992400,78446.02,78451.69,78083.01,78181.66,62.49759096
1776993300,78183.17,78206.79,78030.78,78058.01,59.3502001
1776994200,78058.01,78176.99,77979.18,78078.12,37.88017869
1776995100,78078.12,78487.02,78050.65,78457.91,91.2353473
1776996000,78457.9,78607.38,78313.54,78422.28,61.00693449
1776996900,78422.28,78433.09,78270.3,78284.29,64.33649572
1776997800,78284.29,78438.17,78284.29,78438.17,33.85165354
1776998700,78438.17,78461.76,78097.52,78154.1,46.0839049
1776999600,78154.1,78217.79,78100.0,78157.21,39.35899002
1777000500,78157.21,78157.99,77695.49,77779.0,104.14152187
1777001400,77779.01,77784.61,77590.51,77669.44,73.02228442
1777002300,77669.44,77769.58,77661.21,77755.39,35.86728067
1777003200,77755.39,77769.31,77700.71,77748.85,48.06779626
1777004100,77748.86,77888.5,77627.99,77632.01,64.62965298
1777005000,77630.21,77692.19,77492.99,77661.91,69.06590352
1777005900,77661.9,77777.48,77620.91,77682.91,44.50665185
1777006800,77682.9,77723.91,77571.31,77576.17,58.14990765
1777007700,77576.1,77664.28,77465.3,77654.71,52.08374434
1777008600,77654.71,77778.42,77654.71,77725.88,26.73201909
1777009500,77725.88,78071.27,77725.88,77974.29,68.11312824
1777010400,77974.3,77999.1,77910.49,77968.38,32.36360463
1777011300,77968.38,77992.25,77835.01,77855.96,22.48630785
1777012200,77855.96,77914.0,77786.29,77834.81,26.84638293
1777013100,77834.8,77937.09,77806.89,77813.12,15.23311551
1777014000,77813.11,77882.44,77770.41,77785.2,23.39518532
1777014900,77785.2,77803.01,77668.27,77744.89,14.1745165
