timestamp,open,high,low,close,volume
1763442000,89978.34,90376.9,89598.06,90106.89,593.73916359
1763445600,90109.74,90118.5,89247.87,89537.8,524.56910152
1763449200,89537.8,90439.93,89241.05,90391.98,523.90150495
1763452800,90391.98,91342.5,90391.97,91121.6,630.26408152
1763456400,91119.41,91395.51,90784.97,91296.55,346.5645742
1763460000,91291.96,91507.61,91141.56,91472.86,233.65018253
1763463600,91472.86,91509.73,91133.39,91413.99,233.2761347
1763467200,91415.59,91774.83,90994.13,91416.01,446.57554179
1763470800,91411.51,91561.29,90805.01,91385.14,400.91741799
1763474400,91375.27,92359.93,91108.0,91255.01,982.28163275
1763478000,91251.99,92950.0,90914.56,92827.96,1541.41100925
1763481600,92827.95,93775.0,92499.45,93444.01,1234.89714977
1763485200,93442.01,93600.0,92765.29,93202.93,839.82948006
1763488800,93202.93,93700.0,93095.18,93274.83,570.14421302
1763492400,93274.84,93561.99,92912.35,93123.99,724.99333027
1763496000,93123.99,93254.11,92606.0,92748.97,699.41132746
1763499600,92744.01,92995.44,92396.01,92442.18,373.36302456
1763503200,92442.18,93372.25,92438.1,93112.95,345.19792368
1763506800,93112.95,93126.61,92671.13,92914.46,269.55857638
1763510400,92914.45,92948.0,91914.79,92354.58,507.08272798
1763514000,92354.58,92590.95,91852.83,92379.41,531.77724024
1763517600,92379.41,92810.27,92210.04,92497.54,373.11272488
1763521200,92497.54,92568.96,91588.79,91805.53,478.40891085
1763524800,91802.62,91916.7,91083.17,91083.17,522.94152497
1763528400,91085.1,91192.0,89955.55,90384.87,687.8341902
1763532000,90388.99,91039.24,90209.04,90914.01,479.06814096
1763535600,90914.01,91955.47,90879.81,91807.64,438.99070357
1763539200,91804.14,91900.23,91251.76,91416.0,337.94271025
1763542800,91415.35,91470.46,91016.94,91470.46,369.59728286
1763546400,91465.41,91645.33,91160.83,91234.0,215.81114145
1763550000,91234.0,91708.87,91233.99,91342.79,189.58417793
1763553600,91339.36,91804.0,91134.66,91712.0,310.71430368
1763557200,91712.55,91838.32,91175.09,91337.31,483.43458767
1763560800,91339.46,91814.63,90982.03,91666.02,949.02586781
1763564400,91666.02,92358.27,89793.0,89876.91,1393.61042195
1763568000,89870.62,90165.02,89377.68,89833.03,1189.54245909
1763571600,89828.09,90067.0,88800.0,89422.1,1309.24038473
1763575200,89422.1,89636.58,88650.28,89140.0,1054.73272505
1763578800,89136.43,89275.86,88520.0,88783.08,786.7921129
1763582400,88783.07,89587.25,88483.12,89413.61,801.75684061
1763586000,89417.65,90750.17,89341.91,90503.89,1077.18977392
1763589600,90503.88,90550.05,90000.0,90384.83,444.50081797
1763593200,90384.83,91516.29,90362.79,91461.6,709.54143176
1763596800,91465.04,92222.52,91098.01,91802.0,464.3832401
1763600400,91802.01,92624.99,91734.89,92522.66,525.33854165
1763604000,92513.53,92728.85,92225.35,92503.17,442.38645932
1763607600,92503.18,92642.46,92272.2,92358.0,363.7180748
1763611200,92355.98,92893.6,92048.0,92878.94,448.24740305
1763614800,92878.94,93080.91,92480.33,92535.28,329.73666541
1763618400,92535.28,92775.36,91601.9,91892.05,273.34120207
1763622000,91892.05,92346.98,91714.74,92224.46,284.43728786
1763625600,92224.46,92315.53,91949.98,92040.0,172.8042722
1763629200,92040.0,92053.43,91356.88,91810.0,294.19091072
1763632800,91810.0,91964.0,91506.0,91710.01,197.13048854
1763636400,91710.01,91939.9,91381.96,91834.69,231.49367966
1763640000,91834.69,91907.1,91574.46,91747.62,198.66928009
1763643600,91738.38,92462.85,91392.0,91436.94,547.82236439
1763647200,91436.94,91583.0,90372.0,91002.45,1082.78822089
1763650800,91006.44,91078.0,89701.0,89746.57,1102.1428777
1763654400,89746.73,89804.0,87386.79,87776.0,2584.17347733
1763658000,87772.5,88060.77,86300.0,87136.57,2543.7851243
1763661600,87136.56,87674.43,86218.0,86376.7,1280.57599101
1763665200,86376.69,87044.0,85980.7,86796.05,1351.70269536
1763668800,86796.03,86997.42,86195.95,86333.83,1211.98003851
1763672400,86335.37,87570.64,86294.05,87184.0,1627.3773381
1763676000,87179.41,88152.18,87100.0,87969.55,660.66172834
1763679600,87969.47,88064.76,86457.17,86536.88,638.91398734
1763683200,86531.87,87395.93,86484.45,87177.4,694.10115861
1763686800,87177.4,87360.0,86720.9,86941.51,516.88856375
1763690400,86942.08,86967.59,85266.03,85346.8,1138.04830067
1763694000,85337.29,86029.97,85320.44,85718.02,877.24856666
1763697600,85718.02,86016.35,85292.3,85944.83,603.0197806
1763701200,85944.82,86250.0,85718.09,86084.86,457.17620536
1763704800,86084.85,86151.0,85424.53,85465.98,574.55300504
1763708400,85465.99,85652.05,81385.97,83914.25,2504.49253141
1763712000,83914.25,84589.3,83478.03,83532.0,1027.69496223
1763715600,83528.49,83877.31,82003.32,82104.02,1306.0039277
1763719200,82093.93,82808.35,81548.32,82592.04,1725.45373778
1763722800,82592.04,83245.74,82089.0,82204.53,866.18625697
1763726400,82204.0,83500.0,80524.65,83176.01,2576.5793216
1763730000,83179.83,84340.0,83004.88,84005.71,1522.75981066
1763733600,84016.01,85449.99,83451.54,84756.3,1965.11888667
1763737200,84759.61,85015.99,82650.85,82846.0,2594.78842256
1763740800,82842.0,84836.09,82233.99,84825.24,2386.44797853
1763744400,84826.0,85490.57,84491.14,84806.13,1643.82972825
1763748000,84806.13,85005.0,83224.0,84506.03,1780.112324
1763751600,84506.03,84962.65,84006.95,84135.7,1099.41363832
1763755200,84135.69,84600.0,83373.93,84487.2,1318.88115716
1763758800,84492.0,85357.75,84290.02,85121.99,852.44651615
1763762400,85121.99,85344.98,84196.01,84210.0,672.70069908
1763766000,84210.0,85286.99,84045.96,85068.88,507.61498454
1763769600,85068.85,85547.11,84500.0,84672.0,673.04964705
1763773200,84671.99,85142.0,84524.01,85104.0,479.79369432
1763776800,85105.11,85141.34,84218.41,84463.99,573.58283029
1763780400,84463.99,84538.85,84141.12,84379.26,380.62053308
1763784000,84380.07,84484.5,83744.48,84177.67,341.43721389
1763787600,84177.67,84252.88,83802.27,84215.96,257.1272568
1763791200,84215.96,84732.02,84013.39,84574.43,229.7378231
1763794800,84574.43,84602.27,84337.81,84522.2,173.73725944
1763798400,84522.2,84524.01,83861.3,83959.02,224.95405945
1763802000,83960.54,84285.17,83790.3,83870.01,302.69964457
1763805600,83871.2,84159.46,83441.91,83636.57,338.10249689
1763809200,83640.23,84280.65,83531.93,84033.62,258.58721202
1763812800,84033.6,84100.0,83569.45,83829.85,296.85731011
1763816400,83829.48,84080.0,83596.63,83890.01,211.77705248
1763820000,83890.01,84699.95,83882.02,84436.03,287.71754212
1763823600,84436.03,84511.68,83956.94,84228.15,299.09572065
1763827200,84228.15,84850.0,84159.61,84644.43,268.13011584
1763830800,84646.66,84676.36,84359.98,84493.56,273.08622468
1763834400,84492.17,84631.56,84422.0,84607.79,190.52131372
1763838000,84607.78,84772.41,84450.26,84552.4,230.42007172
1763841600,84552.41,84764.14,84181.96,84416.62,269.88444917
1763845200,84416.62,84461.99,84185.76,84358.15,236.44223049
1763848800,84358.15,85208.0,84217.87,85012.54,290.17221718
1763852400,85012.53,85134.57,84608.67,84684.0,242.98793201
1763856000,84683.99,85247.38,84614.11,84915.25,434.62878037
1763859600,84915.25,86095.78,84894.48,85827.88,820.50891612
1763863200,85827.88,86295.98,85627.97,85944.14,579.29779773
1763866800,85940.27,86264.7,85748.3,86264.01,292.25147443
1763870400,86262.72,86814.82,86098.04,86496.04,601.13746099
1763874000,86499.03,86570.08,85947.31,86305.23,305.83538067
1763877600,86305.23,86473.29,85812.88,85812.88,240.94205479
1763881200,85812.9,85870.49,85353.12,85724.07,237.55788001
1763884800,85721.45,86142.34,85717.08,86088.05,232.07013485
1763888400,86090.01,86425.08,86030.75,86369.99,165.0295162
1763892000,86360.02,86418.08,85996.98,86012.0,202.79806421
1763895600,86012.05,86382.8,85779.5,86293.12,164.3552386
1763899200,86292.69,86849.36,86229.93,86483.2,354.21327015
1763902800,86488.29,86894.31,86265.0,86892.33,292.0717845
1763906400,86892.32,87163.9,86440.89,86506.01,497.11823981
1763910000,86506.24,87200.0,86401.66,87046.01,299.26750966
1763913600,87046.02,87455.0,86627.98,86643.21,699.48164426
1763917200,86654.04,86923.69,86460.34,86711.17,428.10310247
1763920800,86710.53,87220.02,86680.01,86959.99,405.59858515
1763924400,86954.56,87649.05,86890.87,87290.42,523.59013049
1763928000,87290.41,87682.37,87203.99,87452.01,480.00681849
1763931600,87452.01,87984.53,87118.97,87970.01,438.39111835
1763935200,87970.01,88100.0,87524.02,87980.49,412.12168339
1763938800,87980.49,88072.51,86692.0,86808.28,679.68706688
1763942400,86808.28,87178.81,85906.83,86702.54,695.1509544
1763946000,86702.54,87047.06,86357.47,87031.24,464.86829645
1763949600,87031.23,88019.06,86986.0,87486.03,634.96348237
1763953200,87486.03,87762.14,87151.28,87408.0,325.65804024
1763956800,87408.0,87563.67,86401.0,86690.1,378.61054981
1763960400,86690.09,87797.64,86635.59,87421.06,399.19761013
1763964000,87421.06,87473.79,86776.57,86867.55,390.32465918
1763967600,86864.89,87351.27,86641.36,87009.32,315.2429201
1763971200,87009.32,87009.32,86670.0,86911.99,249.02477622
1763974800,86911.98,86911.98,85756.01,85895.05,573.21782732
1763978400,85895.05,86143.0,85633.38,85996.0,625.62142957
1763982000,85995.99,86378.05,85778.31,86210.03,521.66892813
1763985600,86210.02,86264.0,85828.89,85949.38,405.70113941
